"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","67162","Wooden windows and doors","%","13.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","68","Bituminous macadam, asphalt and bituminous emulsions","%","14.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","681","Bituminous macadam and asphalt","%","14.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","682","Bituminous emulsions","%","9.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","691","Electrical fittings","%","10.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","69162","Lighting equipment","%","0"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","69163","Protection and communication equipment","%","13.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","70","All other materials","%","12.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","700","Plumbing materials including sanitary ware","%","11"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","701","HVAC (heating and ventilation equipment)","%","7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","702","Insulating materials","%","8.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","703","Pipes and fittings","%","16.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","70371","PVC pipes and fittings","%","12.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","70372","Copper pipes and fittings","%","18"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","704","Plaster","%","35.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","705","Paints, oils and varnishes","%","18"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","706","Glass","%","6.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","708","All other metal fittings","%","0.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202304","2023 April","709","All other products","%","9.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","-","Materials","%","9.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","601","Stone, sand and gravel","%","11.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","60161","Sand and gravel","%","3.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","60162","Stone","%","13"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","611","Cement","%","24"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202305","2023 May","621","Ready mixed mortar and concrete","%","26.1"
