"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM09C01","Residential Property Price Index","200505","2005 May","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200505","2005 May","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","-","National - all residential properties","Base 2015=100","129.5"
"HPM09C01","Residential Property Price Index","200506","2005 June","01","National - houses","Base 2015=100","126"
"HPM09C01","Residential Property Price Index","200506","2005 June","02","National - apartments","Base 2015=100","153.2"
"HPM09C01","Residential Property Price Index","200506","2005 June","05","Dublin - all residential properties","Base 2015=100","123.8"
"HPM09C01","Residential Property Price Index","200506","2005 June","06","Dublin - houses","Base 2015=100","117.7"
"HPM09C01","Residential Property Price Index","200506","2005 June","07","Dublin - apartments","Base 2015=100","149.4"
"HPM09C01","Residential Property Price Index","200506","2005 June","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","03","National excluding Dublin - all residential properties","Base 2015=100","146.7"
"HPM09C01","Residential Property Price Index","200506","2005 June","04","National excluding Dublin - houses","Base 2015=100","144.5"
"HPM09C01","Residential Property Price Index","200506","2005 June","12","National excluding Dublin - apartments","Base 2015=100","183.6"
"HPM09C01","Residential Property Price Index","200506","2005 June","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200506","2005 June","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","-","National - all residential properties","Base 2015=100","131.6"
"HPM09C01","Residential Property Price Index","200507","2005 July","01","National - houses","Base 2015=100","128.2"
"HPM09C01","Residential Property Price Index","200507","2005 July","02","National - apartments","Base 2015=100","153.6"
"HPM09C01","Residential Property Price Index","200507","2005 July","05","Dublin - all residential properties","Base 2015=100","125.3"
"HPM09C01","Residential Property Price Index","200507","2005 July","06","Dublin - houses","Base 2015=100","119.7"
"HPM09C01","Residential Property Price Index","200507","2005 July","07","Dublin - apartments","Base 2015=100","148.8"
"HPM09C01","Residential Property Price Index","200507","2005 July","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","03","National excluding Dublin - all residential properties","Base 2015=100","149.3"
"HPM09C01","Residential Property Price Index","200507","2005 July","04","National excluding Dublin - houses","Base 2015=100","147.1"
"HPM09C01","Residential Property Price Index","200507","2005 July","12","National excluding Dublin - apartments","Base 2015=100","187.2"
"HPM09C01","Residential Property Price Index","200507","2005 July","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200507","2005 July","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","-","National - all residential properties","Base 2015=100","133.8"
"HPM09C01","Residential Property Price Index","200508","2005 August","01","National - houses","Base 2015=100","130.2"
"HPM09C01","Residential Property Price Index","200508","2005 August","02","National - apartments","Base 2015=100","155.8"
"HPM09C01","Residential Property Price Index","200508","2005 August","05","Dublin - all residential properties","Base 2015=100","127.7"
"HPM09C01","Residential Property Price Index","200508","2005 August","06","Dublin - houses","Base 2015=100","122"
"HPM09C01","Residential Property Price Index","200508","2005 August","07","Dublin - apartments","Base 2015=100","150.6"
"HPM09C01","Residential Property Price Index","200508","2005 August","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","03","National excluding Dublin - all residential properties","Base 2015=100","151.6"
"HPM09C01","Residential Property Price Index","200508","2005 August","04","National excluding Dublin - houses","Base 2015=100","149.1"
"HPM09C01","Residential Property Price Index","200508","2005 August","12","National excluding Dublin - apartments","Base 2015=100","193.7"
"HPM09C01","Residential Property Price Index","200508","2005 August","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200508","2005 August","23","Mid-West - houses","Base 2015=100",""
