year,month,avg_mean_temp
2014,6,13.25527777777778
2014,7,14.728897849462365
2014,8,12.421370967741936
2014,9,13.141805555555555
2014,10,9.736827956989247
2014,11,6.394722222222223
2014,12,4.755913978494624
2015,1,3.693010752688172
2015,2,3.677827380952381
2015,3,4.930645161290323
2015,4,7.736805555555555
2015,5,8.252016129032258
2015,6,11.42736111111111
2015,7,12.241666666666667
2015,8,12.27284946236559
2015,9,10.867777777777777
2015,10,9.433602150537634
2015,11,7.5175
2015,12,6.429032258064516
2016,1,4.606720430107527
2016,2,3.741522988505747
2016,3,5.368413978494623
2016,4,5.964583333333334
2016,5,11.038172043010753
2016,6,13.605833333333333
2016,7,13.351478494623658
2016,8,13.94758064516129
2016,9,12.408055555555556
2016,10,9.29260752688172
2016,11,5.302083333333333
2016,12,6.057123655913979
2017,1,5.181720430107527
2017,2,5.029910714285714
2017,3,6.784139784946237
2017,4,7.85
2017,5,11.638172043010753
2017,6,12.33
2017,7,13.297849462365592
2017,8,12.844086021505378
2017,9,11.2525
2017,10,10.160618279569894
2017,11,6.088333333333334
2017,12,4.883333333333333
2018,1,4.081720430107527
2018,2,2.601934523809524
2018,3,3.6208333333333336
2018,4,7.284722222222222
2018,5,11.369892473118279
2018,6,14.940972222222223
2018,7,14.5497311827957
2018,8,13.195295698924731
2018,9,10.63888888888889
2018,10,8.659139784946237
2018,11,6.418055555555555
2018,12,6.459408602150538
2019,1,5.084005376344086
2019,2,6.433482142857143
2019,3,5.937768817204301
2019,4,7.867916666666667
2019,5,9.858064516129033
2019,6,11.444722222222222
2019,7,14.550940860215054
2019,8,13.690591397849463
2019,9,12.073472222222222
2019,10,8.044489247311828
2019,11,5.3983333333333325
2019,12,5.133467741935483
2020,1,5.080376344086022
2020,2,4.132614942528735
2020,3,4.974731182795699
2020,4,8.828750000000001
2020,5,11.08024193548387
2020,6,12.030972222222223
2020,7,12.455645161290322
2020,8,14.241263440860216
2020,9,11.93736111111111
2020,10,8.333602150537633
2020,11,7.163749999999999
2020,12,4.298118279569893
2021,1,3.4120967741935484
2021,2,4.530654761904762
2021,3,6.098790322580645
2021,4,6.757361111111111
2021,5,8.624596774193549
2021,6,11.876805555555556
2021,7,15.685349462365592
2021,8,14.245698924731183
2021,9,13.363888888888889
2021,10,10.234005376344086
2021,11,7.696527777777778
2021,12,6.090456989247312
2022,1,5.369086021505376
2022,2,5.519196428571428
2022,3,6.378629032258065
2022,4,8.001111111111111
2022,5,10.802016129032259
2022,6,12.020694444444445
2022,7,14.502284946236559
2022,8,14.739381720430108
2022,9,12.320972222222222
2022,10,10.350403225806453
2022,11,7.369722222222222
2022,12,3.2422043010752692
2023,1,4.941397849462366
2023,2,6.502678571428572
2023,3,5.6477150537634415
2023,4,8.233055555555556
2023,5,11.681048387096775
2023,6,15.705972222222222
2023,7,13.12755376344086
2023,8,13.80510752688172
2023,9,13.305138888888887
2023,10,10.075
2023,11,6.635972222222223
2023,12,6.248118279569892
2024,1,4.10241935483871
2024,2,6.186637931034483
2024,3,6.0122311827956985
2024,4,7.985555555555555
2024,5,11.531989247311829
2024,6,11.278194444444445
2024,7,12.994489247311828
2024,8,13.233333333333334
2024,9,11.741388888888888
2024,10,9.966263440860214
2024,11,7.449722222222222
2024,12,6.381586021505376
2025,1,3.7815860215053765
2025,2,5.058333333333333
2025,3,7.2142473118279575
2025,4,9.803888888888888
2025,5,12.409274193548388
2025,6,13.43388888888889
2025,7,15.068279569892473
2025,8,15.178494623655913
2025,9,11.368055555555555
2025,10,14.0
